Provider,PDF Links,PDF Count,Webpage Links,Webpage Count,All Links,Total Count
Advocate Health,[],0,"[""https://www.advocatehealth.com/health-services/genetics-services"", ""https://www.advocatehealth.com/health-services/cancer-institute/cancers-we-treat/breast-cancer/genetic-testing-and-counseling"", ""https://www.advocatehealth.com/health-services/cancer-institute/specialty-programs-clinics/cancer-genetic-risk-assessment"", ""https://www.advocatehealth.com/health-services/obstetrics/specialty-care-support/prenatal-genetic-counseling""]",4,"[""https://www.advocatehealth.com/health-services/genetics-services"", ""https://www.advocatehealth.com/health-services/cancer-institute/cancers-we-treat/breast-cancer/genetic-testing-and-counseling"", ""https://www.advocatehealth.com/health-services/cancer-institute/specialty-programs-clinics/cancer-genetic-risk-assessment"", ""https://www.advocatehealth.com/health-services/obstetrics/specialty-care-support/prenatal-genetic-counseling""]",4
Aetna,[],0,"[""https://www.aetna.com/cpb/medical/data/100_199/0140.html"", ""https://www.aetna.com/cpb/medical/data/600_699/0650.html"", ""https://www.aetna.com/cpb/medical/data/700_799/0715.html""]",3,"[""https://www.aetna.com/cpb/medical/data/100_199/0140.html"", ""https://www.aetna.com/cpb/medical/data/600_699/0650.html"", ""https://www.aetna.com/cpb/medical/data/700_799/0715.html""]",3
Aetna Better Health,"[""https://es.aetnabetterhealth.com/pennsylvania/assets/pdf/providers/notices-newsletters/2023/october/genetic-testing-prior-auth-changes.pdf"", ""https://es.aetnabetterhealth.com/pennsylvania/assets/pdf/providers/notices-newsletters/2024/genetic-testing-code-updates.pdf""]",2,"[""https://es.aetna.com/cpb/medical/data/100_199/0140.html""]",1,"[""https://es.aetnabetterhealth.com/pennsylvania/assets/pdf/providers/notices-newsletters/2023/october/genetic-testing-prior-auth-changes.pdf"", ""https://es.aetnabetterhealth.com/pennsylvania/assets/pdf/providers/notices-newsletters/2024/genetic-testing-code-updates.pdf"", ""https://es.aetna.com/cpb/medical/data/100_199/0140.html""]",3
Affinity by Molina HealthCare,[],0,"[""https://www.molinahealthcare.com/providers/il/duals/resource/Molina-Medical-Coverage-Guidelines.aspx""]",1,"[""https://www.molinahealthcare.com/providers/il/duals/resource/Molina-Medical-Coverage-Guidelines.aspx""]",1
Alabama Medicaid,"[""https://medicaid.alabama.gov/documents/9.0_Resources/9.4_Forms_Library/9.4.14_Prior_Auth_Forms/9.4.14_PA_Medical.pdf""]",1,"[""https://medicaid.alabama.gov/alert_detail.aspx?ID=14131"", ""https://medicaid.alabama.gov/content/9.0_Resources/9.5_FAQ_Pages/9.5.3_FAQ_Benefits.aspx""]",2,"[""https://medicaid.alabama.gov/documents/9.0_Resources/9.4_Forms_Library/9.4.14_Prior_Auth_Forms/9.4.14_PA_Medical.pdf"", ""https://medicaid.alabama.gov/alert_detail.aspx?ID=14131"", ""https://medicaid.alabama.gov/content/9.0_Resources/9.5_FAQ_Pages/9.5.3_FAQ_Benefits.aspx""]",3
Alameda Alliance for Health,[],0,"[""https://alamedaalliance.org/providers/provider-updates/"", ""https://alamedaalliance.org/providers/authorizations/authorization-management/""]",2,"[""https://alamedaalliance.org/providers/provider-updates/"", ""https://alamedaalliance.org/providers/authorizations/authorization-management/""]",2
Alaska Medicaid,"[""https://comagine.org/resource/2505""]",1,"[""https://health.alaska.gov/Commissioner/Pages/MedicaidStatePlan/default.aspx"", ""https://health.alaska.gov/dpa/Pages/medicaid/default.aspx""]",2,"[""https://comagine.org/resource/2505"", ""https://health.alaska.gov/Commissioner/Pages/MedicaidStatePlan/default.aspx"", ""https://health.alaska.gov/dpa/Pages/medicaid/default.aspx""]",3
Alignment Healthcare,[],0,"[""https://grail.com/press-releases/grail-announces-partnership-with-alignment-health-plan-as-first-medicare-advantage-plan-to-offer-galleri-multi-cancer-early-detection-blood-test/"", ""https://www.galleri.com/blocks/who-is-eligible-partner-alignment""]",2,"[""https://grail.com/press-releases/grail-announces-partnership-with-alignment-health-plan-as-first-medicare-advantage-plan-to-offer-galleri-multi-cancer-early-detection-blood-test/"", ""https://www.galleri.com/blocks/who-is-eligible-partner-alignment""]",2
Allina Health,[],0,"[""https://www.allinahealth.org/mercy-hospital/services/women-and-childrens-services/womens-health/genetic-counseling"", ""https://www.allinahealth.org/provider-connect/2023/precision-medicine-testing"", ""https://www.allinahealth.org/about-us/news-releases/2023/allina-health-cancer-institute-partners-with-foundation-medicine-to-advance-precision-oncology"", ""https://qa.allinahealthaetnamedicare.com/en/for-members/medicare-coverage-determinations.html"", ""https://www.allinahealth.org/minneapolis-heart-institute/programs-and-services/genetic-arrhythmia-center"", ""https://account.allinahealth.org/services/683"", ""https://account.allinahealth.org/services/657""]",7,"[""https://www.allinahealth.org/mercy-hospital/services/women-and-childrens-services/womens-health/genetic-counseling"", ""https://www.allinahealth.org/provider-connect/2023/precision-medicine-testing"", ""https://www.allinahealth.org/about-us/news-releases/2023/allina-health-cancer-institute-partners-with-foundation-medicine-to-advance-precision-oncology"", ""https://qa.allinahealthaetnamedicare.com/en/for-members/medicare-coverage-determinations.html"", ""https://www.allinahealth.org/minneapolis-heart-institute/programs-and-services/genetic-arrhythmia-center"", ""https://account.allinahealth.org/services/683"", ""https://account.allinahealth.org/services/657""]",7
American Indian Health Program,[],0,[],0,[],0
Amerigroup District of Columbia,"[""https://provider.amerigroup.com/docs/gpp/DC_DC_Provider_Manual.pdf"", ""https://provider.amerigroup.com/docs/gpp/DC_DC_Clinical_Utilization_Management_Guidelines.pdf""]",2,"[""https://provider.amerigroup.com/dc-provider/resources/policies-guidelines-manuals"", ""https://medicalpolicies.amerigroup.com/green-provider/medical-policies-and-clinical-guidelines""]",2,"[""https://provider.amerigroup.com/docs/gpp/DC_DC_Provider_Manual.pdf"", ""https://provider.amerigroup.com/docs/gpp/DC_DC_Clinical_Utilization_Management_Guidelines.pdf"", ""https://provider.amerigroup.com/dc-provider/resources/policies-guidelines-manuals"", ""https://medicalpolicies.amerigroup.com/green-provider/medical-policies-and-clinical-guidelines""]",4
Amerigroup Georgia,[],0,"[""https://medicalpolicies.amerigroup.com/green-provider/medical-policies-and-clinical-guidelines"", ""https://provider.amerigroup.com/washington-provider/resources/manuals-and-guides/medical-policies-and-clinical-guidelines/full-list"", ""https://provider.amerigroup.com/new-mexico-provider/medical-policies-and-clinical-guidelines-full-list"", ""https://medpol.providers.amerigroup.com/dam/medpolicies/amerigroup/active/policies/mp_pw_a044125.html""]",4,"[""https://medicalpolicies.amerigroup.com/green-provider/medical-policies-and-clinical-guidelines"", ""https://provider.amerigroup.com/washington-provider/resources/manuals-and-guides/medical-policies-and-clinical-guidelines/full-list"", ""https://provider.amerigroup.com/new-mexico-provider/medical-policies-and-clinical-guidelines-full-list"", ""https://medpol.providers.amerigroup.com/dam/medpolicies/amerigroup/active/policies/mp_pw_a044125.html""]",4
Amerigroup Nevada,[],0,"[""https://www.leg.state.nv.us/Division/Legal/LawLibrary/nrs/NRS-695G.html"", ""https://www.leg.state.nv.us/Division/Legal/Lawlibrary/NRS/NRS-695G.html"", ""https://www.leg.state.nv.us/nrS/NRS-695G.html""]",3,"[""https://www.leg.state.nv.us/Division/Legal/LawLibrary/nrs/NRS-695G.html"", ""https://www.leg.state.nv.us/Division/Legal/Lawlibrary/NRS/NRS-695G.html"", ""https://www.leg.state.nv.us/nrS/NRS-695G.html""]",3
Amerigroup Real Solutions,[],0,"[""https://provider.amerigroup.com/new-mexico-provider/resources/manuals-and-guides/medical-policies-and-clinical-guidelines"", ""https://provider.amerigroup.com/new-mexico-provider/medical-policies-and-clinical-guidelines-full-list"", ""https://provider.amerigroup.com/tennessee-provider/resources/policies-guidelines-and-manuals/medical-policies-and-clinical-guidelines"", ""https://provider.amerigroup.com/washington-provider/resources/manuals-and-guides/medical-policies-and-clinical-guidelines/full-list"", ""https://medpol.providers.amerigroup.com/dam/medpolicies/amerigroup/active/policies/mp_pw_d070610.html""]",5,"[""https://provider.amerigroup.com/new-mexico-provider/resources/manuals-and-guides/medical-policies-and-clinical-guidelines"", ""https://provider.amerigroup.com/new-mexico-provider/medical-policies-and-clinical-guidelines-full-list"", ""https://provider.amerigroup.com/tennessee-provider/resources/policies-guidelines-and-manuals/medical-policies-and-clinical-guidelines"", ""https://provider.amerigroup.com/washington-provider/resources/manuals-and-guides/medical-policies-and-clinical-guidelines/full-list"", ""https://medpol.providers.amerigroup.com/dam/medpolicies/amerigroup/active/policies/mp_pw_d070610.html""]",5
Amerigroup Tennessee,[],0,"[""https://provider.amerigroup.com/tennessee-provider/resources/policies-guidelines-and-manuals/medical-policies-and-clinical-guidelines""]",1,"[""https://provider.amerigroup.com/tennessee-provider/resources/policies-guidelines-and-manuals/medical-policies-and-clinical-guidelines""]",1
Amerihealth,[],0,"[""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/aa657bfd-574f-4138-b483-6dffb7b85564.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/0ee299f5-0fc4-4a92-a6e0-e86b1ab355bc.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/671d475a-c25a-455a-b661-4f052d57d2c8.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/e4b77387-cfcd-4d41-a286-f61955bb1b04.aspx""]",4,"[""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/aa657bfd-574f-4138-b483-6dffb7b85564.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/0ee299f5-0fc4-4a92-a6e0-e86b1ab355bc.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/671d475a-c25a-455a-b661-4f052d57d2c8.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/e4b77387-cfcd-4d41-a286-f61955bb1b04.aspx""]",4
Amerihealth Caritas (NH),[],0,"[""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/8894819e-9207-455c-90cf-d9158bc5272e.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/aa657bfd-574f-4138-b483-6dffb7b85564.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/671d475a-c25a-455a-b661-4f052d57d2c8.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/ffe11b35-4ad0-4acf-9495-4187183a6fd2.aspx""]",4,"[""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/8894819e-9207-455c-90cf-d9158bc5272e.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/aa657bfd-574f-4138-b483-6dffb7b85564.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/671d475a-c25a-455a-b661-4f052d57d2c8.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/ffe11b35-4ad0-4acf-9495-4187183a6fd2.aspx""]",4
Amerihealth Caritas (NC),"[""https://www.amerihealthcaritasnc.com/pdf/provider/resources/clinical/clinical-coverage-policy-reference-tool.pdf"", ""https://www.amerihealthcaritasnc.com/pdf/provider/resources/clinical/clinical-practice-guidelines.pdf""]",2,"[""https://www.amerihealthcaritasnc.com/provider/resources/clinical/resources.aspx""]",1,"[""https://www.amerihealthcaritasnc.com/pdf/provider/resources/clinical/clinical-coverage-policy-reference-tool.pdf"", ""https://www.amerihealthcaritasnc.com/pdf/provider/resources/clinical/clinical-practice-guidelines.pdf"", ""https://www.amerihealthcaritasnc.com/provider/resources/clinical/resources.aspx""]",3
Amerihealth Caritas Ohio,[],0,"[""https://www.amerihealthcaritasoh.com/member/eng/getting-care/preauthorizations.aspx"", ""https://www.amerihealthcaritasoh.com/member/eng/benefits/prior-authorization.aspx""]",2,"[""https://www.amerihealthcaritasoh.com/member/eng/getting-care/preauthorizations.aspx"", ""https://www.amerihealthcaritasoh.com/member/eng/benefits/prior-authorization.aspx""]",2
