case_id,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q8_follow_up,Q9,Q10,Q10_follow_up,Q11,Q12,Q13,Q14,Q15,Q16,Q17,match,Q4a,Q4b,Q9a,Q10a,Q14a,Q15a,Q8a,Q4a1
Case10,Whole Exome Sequencing (WES),Not specified,Not specified,No,No,Not specified,No,No,Yes,Single-gene testing or targeted gene panels,Not specified,No,Diagnostic,Not specified,No,Not specified,Not listed,No,No,Not specified,False,,,,,,,,
Case7,Whole Exome Sequencing (WES),Not specified,No,No,No,Yes,No,No,Yes,Single gene testing for specific suspected conditions,Not specified,Yes,Screening,Not specified,Not specified,Yes,Not listed,No,No,Submit a prior authorization request through the UnitedHealthcare Provider Portal.,False,,,,,,,,
Case44,Long QT Syndrome (LQTS) gene panel testing,Not specified,Yes,Yes,Yes,Not specified,No,Yes,No,,Yes,No,,Yes,Not specified,Yes,Not listed,No,Yes,"Submit prior authorization request including clinical documentation supporting medical necessity, family history details, and evidence of genetic counseling.",False,Yes,ACMG,Yes,Diagnostic,,,,
Case23,BRCA1/2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,Yes,Yes,"Submit a prior authorization request including the patient's clinical information, the oncologist's referral, and the specific CPT code 81211 for BRCA1/2 testing.",False,Yes,NCCN,No,Risk Assessment,81211,Tumor testing,,
Case25,BRCA1/2 genetic testing,Yes,Not specified,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,Not specified,Yes,Yes,No,Yes,Submit prior authorization request through the UnitedHealthcare Provider Portal before performing the test.,False,Yes,NCCN,No,Diagnostic,81162,,,
Case33,BRCA genetic testing,Not specified,No,No,Yes,Not required,No,No,No,,Yes,Yes,,Yes,No,Yes,Yes,No,No,"The policy requires genetic counseling by a certified genetic counselor or qualified professional before approving coverage for BRCA testing. The test must be ordered by a qualified healthcare provider, and prior authorization is required. The patient's clinical history must meet the policy's criteria for medical necessity, including a significant family history of breast or ovarian cancer. Claims should be submitted with the appropriate CPT code (e.g., 81162) and documentation of compliance with these requirements.",False,No,,No,Risk Assessment,81162,,,
Case37,BRCA testing,Not specified,Not specified,No,Yes,Not specified,No,No,No,,Yes,No,,Yes,Not specified,Yes,Yes,No,No,Obtain prior authorization and ensure genetic counseling is provided before testing.,False,No,,No,Risk Assessment,81162,,,
Case42,Mitochondrial DNA panel,Not specified,Yes,Yes,Not specified,Not specified,No,Yes,No,,Not specified,No,,Not specified,Not specified,Yes,Not listed,No,Yes,Submit prior authorization through the UnitedHealthcare Provider Portal or by phone.,False,,,,,,,,
Case39,Long QT Syndrome (LQTS) gene panel testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Not specified,No,Yes,Yes,No,Yes,"Submit prior authorization through the UnitedHealthcare Provider Portal or by phone, ensuring all required documentation is included.",False,Yes,ACMG,Yes,Diagnostic,81413,,,
Case34,BRCA testing,Not specified,Not specified,No,Not specified,Not required,No,No,No,,Yes,Yes,,Yes,Not specified,Yes,Not listed,No,No,The policy requires genetic counseling by an independent board-certified genetic specialist prior to BRCA1/BRCA2 genetic testing. Precertification is also required for BRCA1/BRCA2 testing.,False,,,No,,,,,
Case11,Whole Exome Sequencing (WES),Not specified,Not specified,No,Yes,No,No,No,Yes,,Yes,No,,Not specified,No,Not specified,Yes,No,No,"Submit documentation demonstrating that the patient meets all medical necessity criteria outlined in the policy, including completion of prerequisite evaluations such as chromosomal microarray, and that the test is ordered by an appropriate specialist.",False,No,,No,Diagnostic,81415,,Chromosomal microarray (CMA),
Case14,Whole Genome Sequencing (WGS),Not specified,Yes,No,Yes,Yes,Yes,No,Yes,,Not specified,No,,Not specified,No,Not specified,Not listed,No,No,"Submit a claim with appropriate documentation, including clinical notes and prior test results, to Aetna for review.",False,No,,,Diagnostic,,,Targeted gene panel for craniofacial anomalies,
Case2,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Yes,No,Yes,No,,Not specified,No,,Not specified,Yes,Not specified,Not listed,No,Yes,"Submit the claim with appropriate documentation demonstrating medical necessity, including clinical notes, previous test results, and the ordering specialist's rationale for WES.",False,Yes,ACMG,,Diagnostic,,,,
Case9,Whole Exome Sequencing (WES),Yes,Yes,Yes,Yes,Not specified,No,Yes,Yes,,Yes,No,,Yes,Not specified,Yes,Yes,No,No,"Submit a completed Whole Exome Sequencing Recommendation Form, including a three-generation pedigree, the ordering provider's laboratory requisition form, and documentation of a genetics evaluation. Ensure prior authorization is obtained through EviCore by Evernorth.",False,Yes,,No,Diagnostic,81415,,Chromosomal microarray analysis (CMA),ACMG
Case1,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Yes,No,Yes,No,,Yes,No,,Yes,Not specified,Yes,Yes,No,Yes,Submit prior authorization through the UnitedHealthcare Provider Portal or by calling 877-303-7736. Ensure all required clinical documentation is included to demonstrate medical necessity.,False,Yes,ACMG,Yes,Diagnostic,81415,,,
