case_id,Q0,Q1,Q2,Q3,Q4,Q4_1,Q4_2,Q5,Q6,Q7,Q8,Q8_1,Q9,Q10,Q10_1,Q11,Q12,Q13,Q14,Q14_1,Q15,Q16,Q17,match,Q4.1,Q8.1,Q9.1,Q10.1,Q4_followup,Q9_followup,Q10_followup,Q14_followup,Q9_1,Q4.2,Q14.1,Q8_followup,Q8_alternative_test,Q10_purpose,Q10_reason,Q4_sub,Q8_sub,Q9_sub,Q10_sub,Q14_CPT_code,Q9_family_history
Case10,Whole Exome Sequencing (WES),Yes,No,No,Yes,No,None of the above,Not required,No,No,Yes,Chromosomal microarray analysis (CMA),Not specified,No,Diagnostic,Yes,No,Not specified,Yes,81415,No,No,"The policy requires that the patient be evaluated by a clinician with expertise in clinical genetics and that genetic counseling be provided. Additionally, the policy specifies that chromosomal microarray analysis or other first-line testing should be considered before WES. Ensure that these steps are documented and included in the claim submission.",False,,,,,,,,,,,,,,,,,,,,,
Case7,Whole Exome Sequencing (WES),Yes,No,No,Yes,,,Yes,No,No,Yes,,Yes,Yes,,Yes,No,Not specified,No,,No,No,"The policy requires that the patient be evaluated by a clinician with expertise in clinical genetics and that genetic counseling be provided. Additionally, there must be a potential for a change in management and clinical outcome for the individual being tested. The test should not be for screening purposes, and prior genetic testing should be non-diagnostic with a strong clinical suspicion of genetic etiology. The claim should include documentation of these criteria being met.",False,No,Single gene testing or comparative genomic hybridization (CHG)/chromosomal microarray analysis (CMA),No,Diagnostic,,,,,,,,,,,,,,,,,
Case23,BRCA1/2 Sequencing and/or Deletion/Duplication Analysis,Yes,Not specified,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Not specified,No,Yes,Yes,,No,Yes,"The policy requires prior authorization for BRCA1/2 Sequencing and/or Deletion/Duplication Analysis. Ensure that the appropriate CPT code (81162) is used and that the test is ordered by a qualified healthcare provider. Submit the claim with the necessary documentation, including the prior authorization approval, to the insurance provider.",False,,,,,"{'guideline_match': 'Yes', 'guideline': 'NCCN'}",{'family_history_match': 'No'},Diagnostic,{'CPT_code': '81162'},,,,,,,,,,,,,
Case25,BRCA1/2 testing,Yes,Not specified,Yes,Yes,Yes,NCCN,Not required,No,Yes,No,,Yes,No,Diagnostic,Not specified,No,Not specified,Yes,81162,No,Yes,"The policy does not specify detailed steps for claim submission. It is recommended to follow standard procedures for submitting claims, ensuring all necessary documentation, including the test order and medical necessity justification, is included.",False,,,,,,,,,No,,,,,,,,,,,,
Case33,BRCA testing,Yes,Not specified,No,Yes,,,Not required,No,No,Yes,,Yes,No,,Yes,No,Not specified,Yes,,No,No,The policy requires that the test be ordered by a healthcare provider and that the patient meets specific criteria related to personal or family history of cancer. Genetic counseling is recommended before and after testing. Prior authorization may be required depending on the member's contract.,False,No,None specified,No,Risk Assessment,,,,,,NCCN,81162,,,,,,,,,,
Case37,BRCA testing,Not specified,No,No,Yes,,,Not required,No,No,Yes,,Yes,No,,Yes,No,Not specified,Not listed,,No,No,"The policy requires that genetic testing be performed in a setting with suitably trained healthcare providers who can provide appropriate pre- and post-test counseling. The test should be ordered by a specialist or provider type approved by the policy, and the patient should meet the medical necessity criteria outlined in the policy. Genetic counseling is recommended prior to testing.",True,,,,,"{'match_criteria': 'No', 'guidelines': 'NCCN'}",{'relevant_family_history': 'No'},Diagnostic,,,,,{'alternative_test': 'None specified'},,,,,,,,,
Case42,Mitochondrial DNA panel,Not specified,Yes,Yes,Yes,,,Not required,No,Yes,No,,Not specified,No,,Yes,No,Not specified,Yes,,No,Yes,"Ensure that the test is ordered by a qualified specialist, confirm that genetic counseling has been provided, and use the appropriate CPT code (81460) when submitting the claim.",False,,,,,"{'guideline_match': 'Yes', 'guideline': 'None of the above'}",,Diagnostic,{'CPT_code': '81460'},,,,,,,,,,,,,
Case39,Long QT Syndrome (LQTS) gene panel testing,Yes,Yes,Yes,No,,,Not required,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,,No,Yes,"To submit the claim, ensure that the test is ordered by a qualified specialist, confirm that the patient's clinical presentation meets the medical necessity criteria, and include the appropriate CPT code (81403) in the claim submission.",False,,,,,,Yes,Diagnostic,81403,,,,,,,,,,,,,
Case34,BRCA testing,Not specified,Not specified,No,Yes,,,Not required,No,No,No,,Not specified,No,,Not specified,No,Not specified,Yes,,No,No,The policy does not specify the steps for claim submission for this scenario.,False,,,,,"{'patient_matches_criteria': 'No', 'guidelines': 'ACMG'}",,Risk Assessment,{'CPT_code': '81163'},,,,,,,,,,,,,
Case11,Whole Exome Sequencing (WES),Not specified,Yes,No,No,,,No,No,No,Yes,,Not specified,No,,Not specified,No,Not specified,Not listed,,No,No,"Claims must include specific coding scenarios, limits on allowable test combinations or frequency, and necessary information for automated processing (e.g., ICD code, place of service). Any claim may require submission of medical records for post-service review.",False,,,,,,,,,,,,,Epilepsy gene panel (CPT code 81419),Diagnostic,,,,,,,
