case_id,accuracy,correct_count,total_count
Case1,90.47619047619048,19,21
Case2,71.42857142857143,15,21
Case3,95.23809523809523,20,21
Case4,85.71428571428571,18,21
Case5,80.95238095238095,17,21
Case7,85.71428571428571,18,21
Case8,66.66666666666666,14,21
Case9,66.66666666666666,14,21
Case10,76.19047619047619,16,21
Case11,65.0,13,20
Case12,65.0,13,20
Case13,80.95238095238095,17,21
Case14,85.0,17,20
Case15,90.0,18,20
Case16,90.0,18,20
Case17,75.0,15,20
Case18,65.0,13,20
Case19,76.19047619047619,16,21
Case20,63.1578947368421,12,19
Case21,95.23809523809523,20,21
Case22,75.0,15,20
Case24,85.71428571428571,18,21
Case26,85.71428571428571,18,21
Case28,70.0,14,20
Case29,75.0,15,20
Case30,70.0,14,20
Case31,85.71428571428571,18,21
Case32,95.23809523809523,20,21
Case33,80.0,16,20
Case34,70.0,14,20
Case35,80.95238095238095,17,21
Case36,85.71428571428571,18,21
Case37,70.0,14,20
Case38,55.00000000000001,11,20
Case40,76.19047619047619,16,21
Case41,75.0,15,20
Case42,80.0,16,20
Case43,80.0,16,20
Case44,76.19047619047619,16,21
Case45,80.0,16,20
Case46,80.95238095238095,17,21
Case47,60.0,12,20
Case48,65.0,13,20
Case49,66.66666666666666,14,21
Case50,66.66666666666666,14,21
